name,value,type
F,125000.0,float64
aliCPT_limit_deg,0.04,float
beta0,0.5,float
beta_deg,0.0017188733853924698,float
beta_rad,3e-05,float
c_f,0.5,float
delta0_example,0.0001,float
eps_bar,0.01,float
eps_est,0.01414213562373095,float64
has_astropy,False,bool
has_emcee,False,bool
k_beta,0.3,float
pi,3.141592653589793,float
sigma_delta0,0.00282842712474619,float64
sigma_delta0_fid,0.00282842712474619,float64
sigma_eps,1414.213562373095,float64
sigma_eps_est,0.19999999999999998,float64
simons_limit_deg,0.01,float
